Generator,Bus,Pmax,Pmin,Qmax,Qmin,Ramp,SRamp,MinUP,MinDW,InitS,InitP,StartUpCost,FixedCost,VariableCost,Type,PminFactor,QFactor,RampFactor,StartUpCostFactor
G65,62,100.0,20.0,70.0,-70.0,77.66666666666667,77.66666666666667,10,10,-10,0,3000,600.0,8,Thermal,0.2,0.7,0.7766666666666667,30
G66,65,491.0,98.2,343.7,-343.7,338.78999999999996,338.78999999999996,10,10,-10,0,14730,2946.0,10,Thermal,0.2,0.7,0.69,30
G69,66,492.0,98.4,344.4,-344.4,329.64000000000004,329.64000000000004,8,8,-8,0,14760,2952.0,12,Thermal,0.2,0.7,0.67,30
G26,25,320.0,64.0,224.0,-224.0,208.0,208.0,8,8,-8,0,9600,1920.0,14,Thermal,0.2,0.7,0.65,30
G87,87,104.0,20.8,72.8,-72.8,72.31466666666665,72.31466666666665,8,8,-8,0,3120,624.0,16,Thermal,0.2,0.7,0.6953333333333332,30
G89,89,707.0,141.4,494.9,-494.9,431.27,431.27,8,8,-8,0,21210,4242.0,18,Thermal,0.2,0.7,0.61,30
G49,46,119.0,23.8,83.3,-83.3,77.38966666666667,77.38966666666667,8,8,-8,0,3570,714.0,20,Thermal,0.2,0.7,0.6503333333333333,30
G54,49,304.0,60.800000000000004,212.79999999999998,-212.79999999999998,173.27999999999997,173.27999999999997,8,8,-8,0,9120,1824.0,22,Thermal,0.2,0.7,0.57,30
G10,8,100.0,20.0,70.0,-70.0,61.66666666666667,61.66666666666667,8,8,-8,0,3000,600.0,24,Thermal,0.2,0.7,0.6166666666666667,30
G55,54,148.0,29.6,103.6,-103.6,85.93866666666666,85.93866666666666,5,5,-5,0,4440,888.0,26,Thermal,0.2,0.7,0.5806666666666667,30
G12,10,550.0,110.0,385.0,-385.0,280.5,280.5,8,8,-8,0,16500,3300.0,28,Thermal,0.2,0.7,0.51,30
G56,55,100.0,20.0,70.0,-70.0,55.666666666666664,55.666666666666664,5,5,-5,0,3000,600.0,30,Thermal,0.2,0.7,0.5566666666666666,30
G59,56,100.0,20.0,70.0,-70.0,53.66666666666667,53.66666666666667,8,8,-8,0,3000,600.0,32,Thermal,0.2,0.7,0.5366666666666667,30
G61,59,255.0,51.0,178.5,-178.5,118.57499999999999,118.57499999999999,8,8,-8,0,7650,1530.0,34,Thermal,0.2,0.7,0.46499999999999997,30
G62,61,260.0,52.0,182.0,-182.0,115.26666666666668,115.26666666666668,5,5,-5,0,7800,1560.0,36,Thermal,0.2,0.7,0.44333333333333336,30
G70,69,805.2,161.04000000000002,563.64,-563.64,330.13200000000006,330.13200000000006,4,4,-4,0,24156,4831.2,38,Thermal,0.2,0.7,0.41000000000000003,30
G18,15,100.0,20.0,70.0,-70.0,45.666666666666664,45.666666666666664,5,5,-5,0,3000,600.0,40,Thermal,0.2,0.7,0.45666666666666667,30
G91,91,100.0,20.0,70.0,-70.0,43.666666666666664,43.666666666666664,1,1,-1,0,3000,600.0,42,Thermal,0.2,0.7,0.43666666666666665,30
G110,110,100.0,20.0,70.0,-70.0,41.666666666666664,41.666666666666664,2,2,-2,0,3000,600.0,44,Thermal,0.2,0.7,0.41666666666666663,30
G116,116,100.0,20.0,70.0,-70.0,39.66666666666667,39.66666666666667,2,2,-2,0,3000,600.0,46,Thermal,0.2,0.7,0.3966666666666667,30
G92,92,100.0,20.0,70.0,-70.0,37.66666666666667,37.66666666666667,8,8,-8,0,3000,600.0,48,Thermal,0.2,0.7,0.3766666666666667,30
G111,111,136.0,27.200000000000003,95.19999999999999,-95.19999999999999,46.87466666666667,46.87466666666667,5,5,-5,0,4080,816.0,50,Thermal,0.2,0.7,0.3446666666666667,30
G99,99,100.0,20.0,70.0,-70.0,33.666666666666664,33.666666666666664,8,8,-8,0,3000,600.0,52,Thermal,0.2,0.7,0.33666666666666667,30
G112,112,100.0,20.0,70.0,-70.0,31.666666666666664,31.666666666666664,5,5,-5,0,3000,600.0,54,Thermal,0.2,0.7,0.31666666666666665,30
G100,100,352.0,70.4,246.39999999999998,-246.39999999999998,80.96000000000001,80.96000000000001,8,8,-8,0,10560,2112.0,56,Thermal,0.2,0.7,0.23,30
G113,113,100.0,20.0,70.0,-70.0,27.66666666666667,27.66666666666667,5,5,-5,0,3000,600.0,58,Thermal,0.2,0.7,0.2766666666666667,30
G4,1,100.0,20.0,70.0,-70.0,25.66666666666667,25.66666666666667,1,1,-1,0,3000,600.0,60,Thermal,0.2,0.7,0.2566666666666667,30
G6,4,100.0,20.0,70.0,-70.0,23.666666666666668,23.666666666666668,1,1,-1,0,3000,600.0,62,Thermal,0.2,0.7,0.2366666666666667,30
G8,6,100.0,20.0,70.0,-70.0,21.666666666666668,21.666666666666668,1,1,-1,0,3000,600.0,64,Thermal,0.2,0.7,0.21666666666666667,30
G15,12,185.0,37.0,129.5,-129.5,37.0,37.01,1,1,-1,0,5550,1110.0,66,Thermal,0.2,0.7,0.2,30
G19,18,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,68,Thermal,0.2,0.7,0.2,30
G24,19,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,70,Thermal,0.2,0.7,0.2,30
G27,26,414.0,82.80000000000001,289.79999999999995,-289.79999999999995,82.80000000000001,82.81000000000002,1,1,-1,0,12420,2484.0,72,Thermal,0.2,0.7,0.2,30
G31,27,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,74,Thermal,0.2,0.7,0.2,30
G34,32,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,76,Thermal,0.2,0.7,0.2,30
G40,36,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,78,Thermal,0.2,0.7,0.2,30
G42,40,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,80,Thermal,0.2,0.7,0.2,30
G72,70,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,82,Thermal,0.2,0.7,0.2,30
G73,72,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,84,Thermal,0.2,0.7,0.2,30
G85,85,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,86,Thermal,0.2,0.7,0.2,30
G25,24,100.0,20.0,70.0,-70.0,20.0,20.01,8,8,-8,0,3000,600.0,88,Thermal,0.2,0.7,0.2,30
G32,31,107.0,21.400000000000002,74.89999999999999,-74.89999999999999,21.400000000000002,21.410000000000004,5,5,-5,0,3210,642.0,90,Thermal,0.2,0.7,0.2,30
G36,34,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,92,Thermal,0.2,0.7,0.2,30
G46,42,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,94,Thermal,0.2,0.7,0.2,30
G74,73,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,96,Thermal,0.2,0.7,0.2,30
G90,90,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,98,Thermal,0.2,0.7,0.2,30
G103,103,140.0,28.0,98.0,-98.0,28.0,28.01,1,1,-1,0,4200,840.0,100,Thermal,0.2,0.7,0.2,30
G107,107,100.0,20.0,70.0,-70.0,20.0,20.01,1,1,-1,0,3000,600.0,102,Thermal,0.2,0.7,0.2,30
G76,74,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,104,Thermal,0.2,0.7,0.2,30
G104,104,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,106,Thermal,0.2,0.7,0.2,30
G77,76,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,108,Thermal,0.2,0.7,0.2,30
G105,105,100.0,20.0,70.0,-70.0,20.0,20.01,5,5,-5,0,3000,600.0,110,Thermal,0.2,0.7,0.2,30
G80,77,100.0,20.0,70.0,-70.0,20.0,20.01,8,8,-8,0,3000,600.0,112,Thermal,0.2,0.7,0.2,30
G82,80,577.0,115.4,403.9,-403.9,115.4,115.41000000000001,5,5,-5,0,17310,3462.0,114,Thermal,0.2,0.7,0.2,30
WindFarmAt1,1,34.19345810333944,0.0,23.935420672337607,-23.935420672337607,341.93458103339435,341.93458103339435,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt4,4,33.994612882347376,0.0,23.79622901764316,-23.79622901764316,339.94612882347377,339.94612882347377,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt5,5,34.17055973700199,0.0,23.91939181590139,-23.91939181590139,341.70559737001986,341.70559737001986,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt7,7,34.39995055783367,0.0,24.07996539048357,-24.07996539048357,343.9995055783367,343.9995055783367,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt8,8,35.02697693552698,0.0,24.518883854868886,-24.518883854868886,350.26976935526983,350.26976935526983,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt11,11,34.19965177399924,0.0,23.93975624179947,-23.93975624179947,341.99651773999244,341.99651773999244,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt12,12,34.534086941078854,0.0,24.173860858755198,-24.173860858755198,345.3408694107885,345.3408694107885,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt14,14,34.754998201064616,0.0,24.32849874074523,-24.32849874074523,347.54998201064615,347.54998201064615,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt15,15,34.304855820451856,0.0,24.013399074316297,-24.013399074316297,343.04855820451854,343.04855820451854,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt21,21,33.98527031508161,0.0,23.789689220557122,-23.789689220557122,339.85270315081607,339.85270315081607,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt25,25,33.797855371604335,0.0,23.658498760123035,-23.658498760123035,337.97855371604334,337.97855371604334,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt28,28,34.354431050025674,0.0,24.04810173501797,-24.04810173501797,343.54431050025676,343.54431050025676,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt31,31,34.09025139210503,0.0,23.86317597447352,-23.86317597447352,340.9025139210503,340.9025139210503,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt32,32,34.35427084485997,0.0,24.047989591401976,-24.047989591401976,343.5427084485997,343.5427084485997,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt70,70,33.739574775883284,0.0,23.617702343118296,-23.617702343118296,337.39574775883284,337.39574775883284,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt72,72,34.13478661607676,0.0,23.89435063125373,-23.89435063125373,341.3478661607676,341.3478661607676,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt74,74,34.221653420223696,0.0,23.955157394156586,-23.955157394156586,342.21653420223697,342.21653420223697,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt113,113,34.557562189748396,0.0,24.190293532823876,-24.190293532823876,345.575621897484,345.575621897484,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt114,114,34.452391021119276,0.0,24.11667371478349,-24.11667371478349,344.52391021119274,344.52391021119274,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt117,117,34.3202840949418,0.0,24.02419886645926,-24.02419886645926,343.202840949418,343.202840949418,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt37,37,34.359270639539425,0.0,24.051489447677596,-24.051489447677596,343.59270639539426,343.59270639539426,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt39,39,34.231947118225555,0.0,23.962362982757888,-23.962362982757888,342.31947118225554,342.31947118225554,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt43,43,34.60590301267458,0.0,24.224132108872205,-24.224132108872205,346.0590301267458,346.0590301267458,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt45,45,34.06364748879872,0.0,23.844553242159105,-23.844553242159105,340.6364748879872,340.6364748879872,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt49,49,34.15167853561811,0.0,23.906174974932675,-23.906174974932675,341.5167853561811,341.5167853561811,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt51,51,34.01564187214778,0.0,23.810949310503446,-23.810949310503446,340.15641872147785,340.15641872147785,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt57,57,34.25636075917124,0.0,23.979452531419863,-23.979452531419863,342.56360759171235,342.56360759171235,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt61,61,34.656974775455865,0.0,24.259882342819104,-24.259882342819104,346.56974775455865,346.56974775455865,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt63,63,34.13058337035594,0.0,23.89140835924916,-23.89140835924916,341.3058337035594,341.3058337035594,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt67,67,34.555484202229174,0.0,24.18883894156042,-24.18883894156042,345.5548420222917,345.5548420222917,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt76,76,33.861951278204806,0.0,23.703365894743364,-23.703365894743364,338.61951278204805,338.61951278204805,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt80,80,33.826783530527564,0.0,23.678748471369293,-23.678748471369293,338.26783530527564,338.26783530527564,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt97,97,34.139130750138435,0.0,23.897391525096904,-23.897391525096904,341.39130750138435,341.39130750138435,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt99,99,33.31870315887668,0.0,23.323092211213673,-23.323092211213673,333.1870315887668,333.1870315887668,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt82,82,34.64084658919844,0.0,24.248592612438905,-24.248592612438905,346.4084658919844,346.4084658919844,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt85,85,33.991464028239584,0.0,23.794024819767706,-23.794024819767706,339.91464028239585,339.91464028239585,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt91,91,33.886355078339115,0.0,23.72044855483738,-23.72044855483738,338.86355078339113,338.86355078339113,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt95,95,34.22814751639108,0.0,23.959703261473756,-23.959703261473756,342.28147516391084,342.28147516391084,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt101,101,34.245939058769544,0.0,23.97215734113868,-23.97215734113868,342.45939058769545,342.45939058769545,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
WindFarmAt111,111,34.97410412141318,0.0,24.481872884989222,-24.481872884989222,349.74104121413177,349.74104121413177,1,1,-1,0,0,0.0,0,Wind,0.0,0.7,10.0,0
SolarFarmAt9,9,35.33272936320427,0.0,24.732910554242988,-24.732910554242988,353.3272936320427,353.3272936320427,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt16,16,36.341212143379074,0.0,25.43884850036535,-25.43884850036535,363.41212143379073,363.41212143379073,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt29,29,35.63953539533982,0.0,24.947674776737873,-24.947674776737873,356.39535395339817,356.39535395339817,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt73,73,37.28871759539456,0.0,26.10210231677619,-26.10210231677619,372.8871759539456,372.8871759539456,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt36,36,36.34669618370781,0.0,25.44268732859547,-25.44268732859547,363.46696183707814,363.46696183707814,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt38,38,36.074050001069985,0.0,25.251835000748986,-25.251835000748986,360.74050001069986,360.74050001069986,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt40,40,34.87192193898663,0.0,24.41034535729064,-24.41034535729064,348.71921938986634,348.71921938986634,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt42,42,36.28444033148915,0.0,25.399108232042405,-25.399108232042405,362.8444033148915,362.8444033148915,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt46,46,35.969421344601166,0.0,25.178594941220815,-25.178594941220815,359.69421344601164,359.69421344601164,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt48,48,36.19275593451274,0.0,25.334929154158917,-25.334929154158917,361.9275593451274,361.9275593451274,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt50,50,36.439999578746125,0.0,25.507999705122288,-25.507999705122288,364.39999578746125,364.39999578746125,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt52,52,34.88952635370876,0.0,24.42266844759613,-24.42266844759613,348.8952635370876,348.8952635370876,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt54,54,36.74118571144164,0.0,25.718829998009145,-25.718829998009145,367.41185711441636,367.41185711441636,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt59,59,34.77771956960899,0.0,24.344403698726293,-24.344403698726293,347.7771956960899,347.7771956960899,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt60,60,35.72038994767838,0.0,25.004272963374863,-25.004272963374863,357.20389947678376,357.20389947678376,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt64,64,36.39241867635348,0.0,25.474693073447433,-25.474693073447433,363.9241867635348,363.9241867635348,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt81,81,36.29257803892453,0.0,25.40480462724717,-25.40480462724717,362.92578038924535,362.92578038924535,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt118,118,36.45174430426842,0.0,25.516221012987895,-25.516221012987895,364.51744304268425,364.51744304268425,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt88,88,36.814994928859974,0.0,25.770496450201982,-25.770496450201982,368.1499492885997,368.1499492885997,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
SolarFarmAt104,104,37.45110380543306,0.0,26.21577266380314,-26.21577266380314,374.5110380543306,374.5110380543306,1,1,-1,0,0,0.0,0,Solar,0.0,0.7,10.0,0
